AMC_ID,MF_ID,MF_NAME
62,13771,360 ONE Balanced Hybrid Fund
62,7119,360 ONE Dynamic Bond Fund (Formerly known as IIFL Dynamic Bond Fund)
62,13492,360 ONE ELSS Tax Saver Nifty 50 Index Fund(Formerly known as IIFL ELSS Nifty 50 Tax Saver Index Fund
62,13662,360 ONE Flexicap Fund
62,8718,360 ONE Focused Equity Fund (Formerly known as IIFL Focused Equity Fund)
62,7591,360 ONE Liquid Fund (Formerly known as IIFL Liquid Fund) (An open ended Liquid Scheme)
62,12337,360 ONE QUANT FUND (Formerly known as IIFL QUANT FUND)
62,11177,IIFL CAPITAL ENHANCER FUND- SERIES 1
62,6447,IIFL Dividend Opportunities Index Fund
62,6013,IIFL FIXED MATURITY PLAN - SERIES 1 (550 DAYS)
62,6171,IIFL Fixed Maturity Plan - Series 2 (393 Days)
62,6289,IIFL Fixed Maturity Plan - Series 3 (370 Days)
62,6999,IIFL Fixed Maturity Plan - Series 6 (854 Days)
62,9565,IIFL Fixed Maturity Plan Series 11
62,7719,IIFL Fixed Maturity Plan Series 8 (1068 Days)
62,5748,IIFL NIFTY ETF
62,7375,IIFL Short Term Income Fund (An Open Ended Income Scheme)
39,4136,ABN AMRO Cash Fund ( 9-6-2008 )
39,4175,ABN AMRO Dual Advantage Fund - Plan A & Plan B - Series 1
39,4143,ABN AMRO FIXED TERM PLAN - SERIES - 1
39,4127,ABN AMRO Fixed Term Plan - Series 1 - Regular Plan
39,4146,ABN Amro Fixed Term Plan - Series 2 - Quarterly Plan  B
39,4128,ABN Amro Fixed Term Plan - Series 2 - Quarterly Plan A
39,4141,ABN AMRO Fixed Term Plan - Series 2 - Thirteen Month Plan
39,4150,ABN AMRO Fixed Term Plan - Series 2: Quarterly Plan E
39,4164,ABN Amro Fixed Term Plan - Series 3 - Quarterly Plan H
39,4151,ABN AMRO Fixed Term Plan - Series 3: Quarterly Plan A
39,4152,ABN AMRO Fixed Term Plan - Series 3: Quarterly Plan B
39,4131,ABN AMRO Fixed Term Plan - Series 3: Quarterly Plan C
39,4153,ABN AMRO Fixed Term Plan - Series 3: Quarterly Plan D
